acc_x_mean,acc_y_mean,acc_z_mean,acc_x_std,acc_y_std,acc_z_std,acc_x_max,acc_y_max,acc_z_max,acc_x_min,acc_y_min,acc_z_min,gyro_x_mean,gyro_y_mean,gyro_z_mean,gyro_x_std,gyro_y_std,gyro_z_std,gyro_x_max,gyro_y_max,gyro_z_max,gyro_x_min,gyro_y_min,gyro_z_min,activity
0.2148956945379238,-0.9848470134610399,0.12387525420657494,0.7424872037728283,0.47479927905252584,0.34653719493872964,7.894745,2.621109,5.132172,-5.14888,-6.648346,-4.176834,-0.0021553717235900773,0.038939221869208236,0.005777764098490908,0.36757532688522004,1.5226520627950997,1.6819901336482774,2.228133,13.634994,7.108156,-1.607823,-9.655792,-6.23905,Activity_1
0.37330709654609734,-0.9422481903725853,0.1280909719880341,0.9689151007504677,0.49417089205420117,0.40124177686289175,7.988449,0.545151,4.608719,-4.387527,-4.948898,-6.218948,-0.03413250890372841,0.1303000233722872,0.003255446021146361,0.5997351934955457,1.709487161733682,2.141098480456844,2.087533,10.752791,6.281114,-4.244186,-9.616052,-7.71022,Activity_2
0.30250792419708744,-1.0246532834629984,0.0875894322760824,0.7733237925984852,0.5717781534961738,0.4824311726151168,7.914276,4.910233,7.637024,-5.07399,-8.044678,-6.502563,0.0577181801875254,-0.1164701734610681,0.04214716530778637,0.8603620655657969,1.5445635591072147,2.248793532975734,6.549796,22.682533,12.791351,-4.928345,-13.701451,-10.020258,Activity_3
0.2148956945379238,-0.9848470134610399,0.12387525420657494,0.7424872037728283,0.47479927905252584,0.34653719493872964,7.894745,2.621109,5.132172,-5.14888,-6.648346,-4.176834,-0.0021553717235900773,0.038939221869208236,0.005777764098490908,0.36757532688522004,1.5226520627950997,1.6819901336482774,2.228133,13.634994,7.108156,-1.607823,-9.655792,-6.23905,Activity_1
0.37330709654609734,-0.9422481903725853,0.1280909719880341,0.9689151007504677,0.49417089205420117,0.40124177686289175,7.988449,0.545151,4.608719,-4.387527,-4.948898,-6.218948,-0.03413250890372841,0.1303000233722872,0.003255446021146361,0.5997351934955457,1.709487161733682,2.141098480456844,2.087533,10.752791,6.281114,-4.244186,-9.616052,-7.71022,Activity_2
0.30250792419708744,-1.0246532834629984,0.0875894322760824,0.7733237925984852,0.5717781534961738,0.4824311726151168,7.914276,4.910233,7.637024,-5.07399,-8.044678,-6.502563,0.0577181801875254,-0.1164701734610681,0.04214716530778637,0.8603620655657969,1.5445635591072147,2.248793532975734,6.549796,22.682533,12.791351,-4.928345,-13.701451,-10.020258,Activity_3
-0.1561085689313986,-1.0110106573218962,0.18784498153034324,0.8587208260280623,0.5606237541393583,0.5317904998580852,7.308456,0.697083,7.37883,-7.935486,-6.796188,-3.875412,0.005017616294793772,0.15659643509127802,-0.07742051081812043,1.0144976469295912,1.3491334850543448,1.8219523774800537,2.370709,7.445145,3.846464,-3.693065,-6.725306,-5.653851,Activity_1
-0.272491717647059,-0.9266082639885221,0.22166678307030105,0.7000585969322958,0.41360179068657377,0.3575283328551927,4.080399,0.508652,2.672241,-6.828491,-3.209259,-2.012329,-0.04639378143360752,0.13152667273795504,-0.0534755705052879,0.8848432927229972,1.3142064795684794,1.5046185475269298,1.827151,5.314723,3.05481,-3.158219,-5.976456,-4.800075,Activity_2
-0.35892338722601924,-0.9162676716945549,0.21272069620551456,0.4944496937340324,0.3249339764107204,0.3073415558908375,3.288712,-0.085495,1.26091,-3.119919,-3.609634,-1.698303,-0.032583534973468394,0.13865945513748226,-0.06841691606367574,0.9832897834397767,1.082968095677929,1.7740007176593875,2.153922,6.296464,3.934518,-3.114463,-3.665118,-6.12562,Activity_3
-0.3140440406261649,-0.929874706298919,-0.12293795080134183,0.7442917123940826,0.6730712587023772,0.40986970179898397,3.300049,1.955078,1.921707,-6.045731,-7.156128,-2.578857,-0.09839215381679393,0.2740320866412217,0.01705696374045794,1.1460564839667247,1.3914392697857902,1.9563251875085919,7.828768,7.443582,9.488462,-5.214067,-4.247405,-7.298375,Activity_1
-0.3391803823106416,-0.8996780608820696,-0.0681375539309683,0.7041102595761252,0.5006318939616796,0.4674105897519278,3.623734,0.409439,1.6754,-4.735611,-4.280289,-1.815323,-0.10646268259803936,0.19439441274509864,-0.005908581862745083,1.3063696069689283,1.4461983979785584,1.9472496572397548,5.415439,12.016384,7.004107,-4.232931,-4.466655,-6.304649,Activity_2
-0.3369289779575903,-0.9478009952566945,0.0006398998325892468,0.5887168851473258,0.3612712020195224,0.5709367283156866,4.408875,1.559631,2.337158,-3.482254,-6.817947,-2.127075,-0.08257759046803653,0.28852184018264815,-0.02960827482876714,2.0282933455122922,1.3587403450884308,1.7691165424345323,7.250548,7.526614,6.519181,-5.660615,-7.759987,-6.377878,Activity_3
-0.2890652716927449,-0.9669859036273107,-0.1723301347795162,0.7894722711699717,0.6967351519881589,0.4467413202874106,3.325775,2.372513,1.917526,-6.381042,-7.602173,-2.598801,-0.10489183151382836,0.22487314737991262,0.006910414483260534,1.4980407742932966,1.4842552413483323,2.0893450050724582,6.724518,9.68888,8.731347,-5.504834,-7.292655,-7.949805,Activity_1
-0.31742892326464184,-1.0334577139370924,-0.004641987255965286,0.907143706668471,0.6744212061116233,0.6504165547462486,3.958252,1.051773,2.506729,-5.900925,-6.685486,-7.039673,-0.08965609562084248,0.14681450554323744,-0.03191966158536579,2.1056037169400166,2.098445873600864,2.571747844460011,9.775132,12.105224,7.692121,-9.158969,-9.111125,-9.538542,Activity_2
